accuracy,loss,val_accuracy,val_loss
0.18936392664909363,4.290185928344727,0.3994995951652527,3.3200724124908447
0.52888423204422,2.652956962585449,0.5162635445594788,2.4465885162353516
0.6702815294265747,1.9112492799758911,0.5846538543701172,2.0195019245147705
0.7343065738677979,1.5075334310531616,0.6163469552993774,1.7865504026412964
0.7774765491485596,1.249443531036377,0.6246872544288635,1.6302522420883179
0.8058394193649292,1.0769671201705933,0.6338615417480469,1.541353464126587
0.83983314037323,0.9379411339759827,0.6380317211151123,1.4595314264297485
0.8540145754814148,0.8252637982368469,0.6547122597694397,1.4073166847229004
0.8763294816017151,0.745153546333313,0.6605504751205444,1.3648285865783691
0.8873826861381531,0.6634451150894165,0.6672226786613464,1.3267226219177246
0.8942648768424988,0.6036428809165955,0.6555463075637817,1.307749629020691
0.9142857193946838,0.5454246997833252,0.6655546426773071,1.2807406187057495
0.9190824031829834,0.5057116746902466,0.6738949418067932,1.261673092842102
0.9242961406707764,0.466225802898407,0.6780650615692139,1.2342544794082642
0.9399374127388,0.4242224395275116,0.6722268462181091,1.2352831363677979
0.9376433491706848,0.39498573541641235,0.6797330975532532,1.2208092212677002
0.9514077305793762,0.370479017496109,0.6788991093635559,1.2056704759597778
0.9505735039710999,0.3428257405757904,0.6772310137748718,1.2123894691467285
0.9578728079795837,0.3212839365005493,0.6788991093635559,1.204683542251587
0.9593326449394226,0.3049369752407074,0.6772310137748718,1.2011358737945557
0.9670490026473999,0.2754591107368469,0.6864053606987,1.1944866180419922
0.9701772928237915,0.25629204511642456,0.6772310137748718,1.18917977809906
0.9666318893432617,0.2507176399230957,0.6763970255851746,1.1977182626724243
0.9745568037033081,0.22658401727676392,0.6872393488883972,1.192686915397644
0.9728884100914001,0.22024035453796387,0.6705588102340698,1.1998041868209839
0.9770594239234924,0.20662429928779602,0.6730608940124512,1.1930726766586304
0.9778936505317688,0.1955106109380722,0.6780650615692139,1.19932222366333
0.9795620441436768,0.184238463640213,0.6814011931419373,1.1931623220443726
