accuracy,loss,val_accuracy,val_loss
0.18978102505207062,4.290246486663818,0.3994995951652527,3.3201189041137695
0.5284671783447266,2.6530539989471436,0.5162635445594788,2.446650981903076
0.6698644161224365,1.911340594291687,0.5846538543701172,2.019577980041504
0.7338894605636597,1.507614016532898,0.6171810030937195,1.7866164445877075
0.7778936624526978,1.2494878768920898,0.6255212426185608,1.6303199529647827
0.8058394193649292,1.0770167112350464,0.6338615417480469,1.5414193868637085
0.83983314037323,0.9380012154579163,0.6388657093048096,1.4595892429351807
0.8540145754814148,0.8253065943717957,0.6538782119750977,1.4073889255523682
0.8765380382537842,0.7451870441436768,0.6597164273262024,1.3648829460144043
0.8873826861381531,0.6634655594825745,0.6663886308670044,1.3267881870269775
0.8942648768424988,0.6036686897277832,0.6555463075637817,1.3078057765960693
0.9140771627426147,0.5454445481300354,0.6672226786613464,1.2808040380477905
0.9192909002304077,0.5057350397109985,0.6730608940124512,1.2617121934890747
0.9240875840187073,0.4662448465824127,0.6780650615692139,1.2343084812164307
0.9401459693908691,0.4242555499076843,0.6713927984237671,1.2353373765945435
0.9376433491706848,0.39500442147254944,0.6797330975532532,1.220870852470398
0.9514077305793762,0.3704950213432312,0.6780650615692139,1.205745816230774
0.9505735039710999,0.342838317155838,0.6763970255851746,1.212425708770752
0.9576642513275146,0.3212895393371582,0.6780650615692139,1.2047468423843384
0.9593326449394226,0.3049475848674774,0.6772310137748718,1.201198697090149
0.9670490026473999,0.27546820044517517,0.6864053606987,1.194549322128296
0.9701772928237915,0.2563019394874573,0.6772310137748718,1.189228892326355
0.9668404459953308,0.2507292628288269,0.6755629777908325,1.1977956295013428
0.9745568037033081,0.22660471498966217,0.6872393488883972,1.1927568912506104
0.9728884100914001,0.22025007009506226,0.6705588102340698,1.1998530626296997
0.9768508672714233,0.2066388577222824,0.6738949418067932,1.1931145191192627
0.9778936505317688,0.19552400708198547,0.6780650615692139,1.1993913650512695
